소관,입출분류,회계분류,계정,장(분야),관(부문),항(프로그램),금액_원안,계정별합계_원안,회계분류별합계_원안,소관총계_원안,증감액,수정금액_확정안,회계분류별합계_확정안,소관총계_확정안
국토교통부,세출,국가균형발전특별회계,세종특별자치시계정,국토및지역개발,지역및도시,지역개발,2202000000,,,,0,2202000000,,
국토교통부,세출,국가균형발전특별회계,세종특별자치시계정,국토및지역개발,지역및도시,도시정책,7350000000,,,,0,7350000000,,
국토교통부,세출,국가균형발전특별회계,세종특별자치시계정,국토및지역개발,산업단지,산업단지개발및지원,2612000000,,,,0,2612000000,,
해양수산부,세출,일반회계,-,환경,해양환경,해양환경보전,175586000000,,2784783000000,5836056000000,1513000000,177099000000,2847146000000,5955171000000
해양수산부,세출,일반회계,-,농림수산,수산.어촌,수산물 유통 및 안전관리,1067000000,,,,0,1067000000,,
해양수산부,세출,일반회계,-,농림수산,수산.어촌,수산자원관리및조성,99046000000,,,,2000000000,101046000000,,
해양수산부,세출,일반회계,-,농림수산,수산.어촌,어업인소득안정지원,17415000000,,,,570000000,17985000000,,
해양수산부,세출,일반회계,-,농림수산,수산.어촌,원양협력,2137000000,,,,0,2137000000,,
해양수산부,세출,일반회계,-,농림수산,수산.어촌,수산연구(국립수산과학원),126563000000,,,,0,126563000000,,
해양수산부,세출,일반회계,-,농림수산,수산.어촌,해양수산연수,3920000000,,,,0,3920000000,,
해양수산부,세출,일반회계,-,농림수산,수산.어촌,수산행정,98949000000,,,,-1329000000,97620000000,,
해양수산부,세출,일반회계,-,교통및물류,해운.항만,항만개발 및 관리,16839000000,,,,0,16839000000,,
해양수산부,세출,일반회계,-,교통및물류,해운.항만,해운산업 선진화,226861000000,,,,4500000000,231361000000,,
해양수산부,세출,일반회계,-,교통및물류,해운.항만,해양 및 해상교통관리,47465000000,,,,1600000000,49065000000,,
해양수산부,세출,일반회계,-,교통및물류,해운.항만,회계간거래(전출금),1099805000000,,,,40139000000,1139944000000,,
해양수산부,세출,일반회계,-,교통및물류,물류등기타,해양산업육성및영토관리,363012000000,,,,13370000000,376382000000,,
